,create_dt,Count
100,1970-04-11,91
101,1970-04-12,85
102,1970-04-13,81
103,1970-04-14,82
104,1970-04-15,59
105,1970-04-16,61
106,1970-04-17,79
107,1970-04-18,73
108,1970-04-19,68
109,1970-04-20,78
110,1970-04-21,94
111,1970-04-22,66
112,1970-04-23,91
113,1970-04-24,90
114,1970-04-25,84
115,1970-04-26,92
116,1970-04-27,117
117,1970-04-28,79
118,1970-04-29,84
119,1970-04-30,71
120,1970-05-01,74
121,1970-05-02,84
122,1970-05-03,75
123,1970-05-04,79
124,1970-05-05,84
125,1970-05-06,74
126,1970-05-07,83
127,1970-05-08,82
128,1970-05-09,70
129,1970-05-10,80
130,1970-05-11,83
131,1970-05-12,93
132,1970-05-13,78
133,1970-05-14,78
134,1970-05-15,93
135,1970-05-16,80
136,1970-05-17,77
137,1970-05-18,84
138,1970-05-19,81
139,1970-05-20,85
140,1970-05-21,88
141,1970-05-22,88
142,1970-05-23,96
143,1970-05-24,88
144,1970-05-25,98
145,1970-05-26,95
146,1970-05-27,64
147,1970-05-28,97
148,1970-05-29,99
149,1970-05-30,84
150,1970-05-31,73
151,1970-06-01,68
152,1970-06-02,75
153,1970-06-03,73
154,1970-06-04,79
155,1970-06-05,92
156,1970-06-06,101
157,1970-06-07,92
158,1970-06-08,67
159,1970-06-09,103
160,1970-06-10,75
161,1970-06-11,100
162,1970-06-12,87
163,1970-06-13,78
164,1970-06-14,82
165,1970-06-15,76
166,1970-06-16,72
167,1970-06-17,86
168,1970-06-18,75
169,1970-06-19,79
170,1970-06-20,93
171,1970-06-21,76
172,1970-06-22,88
173,1970-06-23,85
174,1970-06-24,84
175,1970-06-25,89
176,1970-06-26,80
177,1970-06-27,82
178,1970-06-28,103
179,1970-06-29,85
180,1970-06-30,86
181,1970-07-01,94
182,1970-07-02,76
183,1970-07-03,77
184,1970-07-04,87
185,1970-07-05,98
186,1970-07-06,92
187,1970-07-07,80
188,1970-07-08,103
189,1970-07-09,86
190,1970-07-10,95
191,1970-07-11,80
192,1970-07-12,85
193,1970-07-13,78
194,1970-07-14,87
195,1970-07-15,66
196,1970-07-16,83
197,1970-07-17,60
198,1970-07-18,93
199,1970-07-19,88
200,1970-07-20,77
201,1970-07-21,87
202,1970-07-22,85
203,1970-07-23,102
204,1970-07-24,89
205,1970-07-25,77
206,1970-07-26,107
207,1970-07-27,75
208,1970-07-28,80
209,1970-07-29,91
210,1970-07-30,77
211,1970-07-31,94
212,1970-08-01,87
213,1970-08-02,83
214,1970-08-03,85
215,1970-08-04,84
216,1970-08-05,78
217,1970-08-06,71
218,1970-08-07,72
219,1970-08-08,78
220,1970-08-09,96
221,1970-08-10,90
222,1970-08-11,70
223,1970-08-12,67
224,1970-08-13,77
225,1970-08-14,92
226,1970-08-15,80
227,1970-08-16,75
228,1970-08-17,68
229,1970-08-18,91
230,1970-08-19,90
231,1970-08-20,73
232,1970-08-21,66
233,1970-08-22,90
234,1970-08-23,88
235,1970-08-24,67
236,1970-08-25,80
237,1970-08-26,94
238,1970-08-27,80
239,1970-08-28,88
240,1970-08-29,69
241,1970-08-30,74
242,1970-08-31,83
243,1970-09-01,87
244,1970-09-02,82
245,1970-09-03,93
246,1970-09-04,91
247,1970-09-05,75
248,1970-09-06,73
249,1970-09-07,90
250,1970-09-08,100
251,1970-09-09,80
252,1970-09-10,83
253,1970-09-11,68
254,1970-09-12,109
255,1970-09-13,100
256,1970-09-14,98
257,1970-09-15,84
258,1970-09-16,90
259,1970-09-17,87
260,1970-09-18,73
261,1970-09-19,84
262,1970-09-20,76
263,1970-09-21,96
264,1970-09-22,88
265,1970-09-23,74
266,1970-09-24,80
267,1970-09-25,85
268,1970-09-26,77
269,1970-09-27,76
270,1970-09-28,90
271,1970-09-29,66
272,1970-09-30,103
273,1970-10-01,77
274,1970-10-02,106
275,1970-10-03,83
276,1970-10-04,86
277,1970-10-05,83
278,1970-10-06,96
279,1970-10-07,82
280,1970-10-08,85
281,1970-10-09,85
282,1970-10-10,82
283,1970-10-11,77
284,1970-10-12,74
285,1970-10-13,96
286,1970-10-14,90
287,1970-10-15,79
288,1970-10-16,93
289,1970-10-17,70
290,1970-10-18,77
291,1970-10-19,74
292,1970-10-20,74
293,1970-10-21,73
294,1970-10-22,102
295,1970-10-23,80
296,1970-10-24,92
297,1970-10-25,76
298,1970-10-26,80
299,1970-10-27,78
300,1970-10-28,100
301,1970-10-29,69
302,1970-10-30,95
303,1970-10-31,88
304,1970-11-01,78
305,1970-11-02,91
306,1970-11-03,85
307,1970-11-04,83
308,1970-11-05,87
309,1970-11-06,99
310,1970-11-07,66
311,1970-11-08,84
312,1970-11-09,73
313,1970-11-10,83
314,1970-11-11,75
315,1970-11-12,70
316,1970-11-13,95
317,1970-11-14,79
318,1970-11-15,77
319,1970-11-16,69
320,1970-11-17,83
321,1970-11-18,90
322,1970-11-19,91
323,1970-11-20,101
324,1970-11-21,94
325,1970-11-22,94
326,1970-11-23,84
327,1970-11-24,80
328,1970-11-25,78
329,1970-11-26,100
330,1970-11-27,76
331,1970-11-28,96
332,1970-11-29,102
333,1970-11-30,93
334,1970-12-01,74
335,1970-12-02,88
336,1970-12-03,86
337,1970-12-04,97
338,1970-12-05,91
339,1970-12-06,98
340,1970-12-07,79
341,1970-12-08,80
342,1970-12-09,71
343,1970-12-10,88
344,1970-12-11,85
345,1970-12-12,100
346,1970-12-13,80
347,1970-12-14,88
348,1970-12-15,100
349,1970-12-16,82
350,1970-12-17,98
351,1970-12-18,85
352,1970-12-19,100
353,1970-12-20,82
354,1970-12-21,95
355,1970-12-22,76
356,1970-12-23,92
357,1970-12-24,79
358,1970-12-25,90
359,1970-12-26,81
360,1970-12-27,85
361,1970-12-28,78
362,1970-12-29,83
363,1970-12-30,93
364,1970-12-31,76
365,1971-01-01,84
366,1971-01-02,65
367,1971-01-03,93
368,1971-01-04,85
369,1971-01-05,84
370,1971-01-06,68
371,1971-01-07,84
372,1971-01-08,80
373,1971-01-09,80
374,1971-01-10,112
375,1971-01-11,110
376,1971-01-12,75
377,1971-01-13,79
378,1971-01-14,86
379,1971-01-15,56
380,1971-01-16,68
381,1971-01-17,97
382,1971-01-18,82
383,1971-01-19,88
384,1971-01-20,94
385,1971-01-21,78
386,1971-01-22,85
387,1971-01-23,87
388,1971-01-24,72
389,1971-01-25,83
390,1971-01-26,72
391,1971-01-27,82
392,1971-01-28,79
393,1971-01-29,75
394,1971-01-30,86
395,1971-01-31,75
396,1971-02-01,83
397,1971-02-02,101
398,1971-02-03,82
399,1971-02-04,83
400,1971-02-05,91
401,1971-02-06,78
402,1971-02-07,70
403,1971-02-08,89
404,1971-02-09,92
405,1971-02-10,80
406,1971-02-11,73
407,1971-02-12,70
408,1971-02-13,59
409,1971-02-14,75
410,1971-02-15,81
411,1971-02-16,78
412,1971-02-17,78
413,1971-02-18,97
414,1971-02-19,89
415,1971-02-20,88
416,1971-02-21,73
417,1971-02-22,91
418,1971-02-23,83
419,1971-02-24,84
420,1971-02-25,69
421,1971-02-26,80
422,1971-02-27,78
423,1971-02-28,76
424,1971-03-01,64
425,1971-03-02,87
426,1971-03-03,107
427,1971-03-04,91
428,1971-03-05,83
429,1971-03-06,79
430,1971-03-07,82
431,1971-03-08,79
432,1971-03-09,94
433,1971-03-10,87
434,1971-03-11,62
435,1971-03-12,73
436,1971-03-13,75
437,1971-03-14,85
438,1971-03-15,64
439,1971-03-16,103
440,1971-03-17,104
441,1971-03-18,71
442,1971-03-19,97
443,1971-03-20,97
444,1971-03-21,94
445,1971-03-22,72
446,1971-03-23,75
447,1971-03-24,75
448,1971-03-25,98
449,1971-03-26,76
450,1971-03-27,74
451,1971-03-28,67
452,1971-03-29,81
453,1971-03-30,85
454,1971-03-31,98
455,1971-04-01,94
456,1971-04-02,84
457,1971-04-03,86
458,1971-04-04,80
459,1971-04-05,79
460,1971-04-06,77
461,1971-04-07,86
462,1971-04-08,92
463,1971-04-09,77
464,1971-04-10,96
465,1971-04-11,97
466,1971-04-12,71
467,1971-04-13,77
468,1971-04-14,95
469,1971-04-15,92
470,1971-04-16,79
471,1971-04-17,76
472,1971-04-18,82
473,1971-04-19,90
474,1971-04-20,95
475,1971-04-21,71
476,1971-04-22,82
477,1971-04-23,72
478,1971-04-24,76
479,1971-04-25,87
480,1971-04-26,93
481,1971-04-27,81
482,1971-04-28,74
483,1971-04-29,93
484,1971-04-30,100
485,1971-05-01,70
486,1971-05-02,78
487,1971-05-03,90
488,1971-05-04,78
489,1971-05-05,59
490,1971-05-06,76
491,1971-05-07,79
492,1971-05-08,95
493,1971-05-09,94
494,1971-05-10,74
495,1971-05-11,68
496,1971-05-12,101
497,1971-05-13,86
498,1971-05-14,97
499,1971-05-15,69
500,1971-05-16,70
501,1971-05-17,76
502,1971-05-18,75
503,1971-05-19,94
504,1971-05-20,91
505,1971-05-21,86
506,1971-05-22,94
507,1971-05-23,85
508,1971-05-24,83
509,1971-05-25,71
510,1971-05-26,88
511,1971-05-27,85
512,1971-05-28,82
513,1971-05-29,81
514,1971-05-30,95
515,1971-05-31,77
516,1971-06-01,82
517,1971-06-02,77
518,1971-06-03,77
519,1971-06-04,84
520,1971-06-05,95
521,1971-06-06,75
522,1971-06-07,85
523,1971-06-08,75
524,1971-06-09,80
525,1971-06-10,93
526,1971-06-11,69
527,1971-06-12,97
528,1971-06-13,80
529,1971-06-14,71
530,1971-06-15,91
531,1971-06-16,74
532,1971-06-17,82
533,1971-06-18,78
534,1971-06-19,89
535,1971-06-20,78
536,1971-06-21,93
537,1971-06-22,78
538,1971-06-23,81
539,1971-06-24,77
540,1971-06-25,78
541,1971-06-26,83
542,1971-06-27,97
543,1971-06-28,86
544,1971-06-29,90
545,1971-06-30,87
546,1971-07-01,104
547,1971-07-02,112
548,1971-07-03,77
549,1971-07-04,87
550,1971-07-05,65
551,1971-07-06,93
552,1971-07-07,81
553,1971-07-08,81
554,1971-07-09,93
555,1971-07-10,99
556,1971-07-11,90
557,1971-07-12,95
558,1971-07-13,92
559,1971-07-14,91
560,1971-07-15,70
561,1971-07-16,106
562,1971-07-17,92
563,1971-07-18,81
564,1971-07-19,71
565,1971-07-20,66
566,1971-07-21,84
567,1971-07-22,69
568,1971-07-23,76
569,1971-07-24,72
570,1971-07-25,84
571,1971-07-26,73
572,1971-07-27,69
573,1971-07-28,85
574,1971-07-29,77
575,1971-07-30,82
576,1971-07-31,96
577,1971-08-01,93
578,1971-08-02,77
579,1971-08-03,85
580,1971-08-04,89
581,1971-08-05,78
582,1971-08-06,72
583,1971-08-07,93
584,1971-08-08,93
585,1971-08-09,97
586,1971-08-10,84
587,1971-08-11,83
588,1971-08-12,88
589,1971-08-13,101
590,1971-08-14,77
591,1971-08-15,76
592,1971-08-16,81
593,1971-08-17,82
594,1971-08-18,58
595,1971-08-19,84
596,1971-08-20,88
597,1971-08-21,86
598,1971-08-22,80
599,1971-08-23,74
600,1971-08-24,91
601,1971-08-25,78
602,1971-08-26,79
603,1971-08-27,73
604,1971-08-28,96
605,1971-08-29,88
606,1971-08-30,87
607,1971-08-31,85
608,1971-09-01,94
609,1971-09-02,95
610,1971-09-03,65
611,1971-09-04,101
612,1971-09-05,80
613,1971-09-06,76
614,1971-09-07,87
615,1971-09-08,94
616,1971-09-09,80
617,1971-09-10,85
618,1971-09-11,81
619,1971-09-12,71
620,1971-09-13,97
621,1971-09-14,91
622,1971-09-15,78
623,1971-09-16,83
624,1971-09-17,68
625,1971-09-18,98
626,1971-09-19,79
627,1971-09-20,91
628,1971-09-21,66
629,1971-09-22,90
630,1971-09-23,69
631,1971-09-24,73
632,1971-09-25,68
633,1971-09-26,98
634,1971-09-27,89
635,1971-09-28,76
636,1971-09-29,119
637,1971-09-30,87
638,1971-10-01,88
639,1971-10-02,83
640,1971-10-03,97
641,1971-10-04,71
642,1971-10-05,78
643,1971-10-06,83
644,1971-10-07,88
645,1971-10-08,77
646,1971-10-09,88
647,1971-10-10,64
648,1971-10-11,75
649,1971-10-12,80
650,1971-10-13,95
651,1971-10-14,87
652,1971-10-15,82
653,1971-10-16,85
654,1971-10-17,94
655,1971-10-18,98
656,1971-10-19,106
657,1971-10-20,68
658,1971-10-21,93
659,1971-10-22,88
660,1971-10-23,78
661,1971-10-24,69
662,1971-10-25,84
663,1971-10-26,76
664,1971-10-27,82
665,1971-10-28,98
666,1971-10-29,73
667,1971-10-30,75
668,1971-10-31,76
669,1971-11-01,90
670,1971-11-02,79
671,1971-11-03,63
672,1971-11-04,90
673,1971-11-05,82
674,1971-11-06,80
675,1971-11-07,64
676,1971-11-08,89
677,1971-11-09,92
678,1971-11-10,87
679,1971-11-11,67
680,1971-11-12,97
681,1971-11-13,73
682,1971-11-14,97
683,1971-11-15,84
684,1971-11-16,66
685,1971-11-17,74
686,1971-11-18,80
687,1971-11-19,88
688,1971-11-20,78
689,1971-11-21,83
690,1971-11-22,88
691,1971-11-23,91
692,1971-11-24,67
693,1971-11-25,100
694,1971-11-26,91
695,1971-11-27,81
696,1971-11-28,67
697,1971-11-29,85
698,1971-11-30,101
699,1971-12-01,77
700,1971-12-02,80
701,1971-12-03,85
702,1971-12-04,79
703,1971-12-05,77
704,1971-12-06,95
705,1971-12-07,90
706,1971-12-08,98
707,1971-12-09,70
708,1971-12-10,84
709,1971-12-11,87
710,1971-12-12,84
711,1971-12-13,75
712,1971-12-14,70
713,1971-12-15,68
714,1971-12-16,83
715,1971-12-17,92
716,1971-12-18,85
717,1971-12-19,89
718,1971-12-20,69
719,1971-12-21,88
720,1971-12-22,98
721,1971-12-23,89
722,1971-12-24,78
723,1971-12-25,85
724,1971-12-26,89
725,1971-12-27,79
726,1971-12-28,99
727,1971-12-29,84
728,1971-12-30,57
729,1971-12-31,94
730,1972-01-01,66
731,1972-01-02,102
732,1972-01-03,87
733,1972-01-04,87
734,1972-01-05,89
735,1972-01-06,89
736,1972-01-07,86
737,1972-01-08,81
738,1972-01-09,84
739,1972-01-10,74
740,1972-01-11,102
741,1972-01-12,75
742,1972-01-13,101
743,1972-01-14,65
744,1972-01-15,83
745,1972-01-16,90
746,1972-01-17,87
747,1972-01-18,80
748,1972-01-19,66
749,1972-01-20,88
750,1972-01-21,90
751,1972-01-22,74
752,1972-01-23,61
753,1972-01-24,84
754,1972-01-25,70
755,1972-01-26,82
756,1972-01-27,74
757,1972-01-28,79
758,1972-01-29,88
759,1972-01-30,78
760,1972-01-31,80
761,1972-02-01,91
762,1972-02-02,97
763,1972-02-03,94
764,1972-02-04,94
765,1972-02-05,70
766,1972-02-06,80
767,1972-02-07,91
768,1972-02-08,80
769,1972-02-09,80
770,1972-02-10,104
771,1972-02-11,85
772,1972-02-12,91
773,1972-02-13,89
774,1972-02-14,66
775,1972-02-15,91
776,1972-02-16,79
777,1972-02-17,78
778,1972-02-18,87
779,1972-02-19,92
780,1972-02-20,85
781,1972-02-21,86
782,1972-02-22,73
783,1972-02-23,83
784,1972-02-24,87
785,1972-02-25,85
786,1972-02-26,94
787,1972-02-27,90
788,1972-02-28,85
789,1972-02-29,88
790,1972-03-01,83
791,1972-03-02,75
792,1972-03-03,76
793,1972-03-04,61
794,1972-03-05,92
795,1972-03-06,71
796,1972-03-07,101
797,1972-03-08,105
798,1972-03-09,64
799,1972-03-10,83
800,1972-03-11,81
801,1972-03-12,89
802,1972-03-13,86
803,1972-03-14,94
804,1972-03-15,77
805,1972-03-16,105
806,1972-03-17,70
807,1972-03-18,89
808,1972-03-19,94
809,1972-03-20,76
810,1972-03-21,84
811,1972-03-22,102
812,1972-03-23,82
813,1972-03-24,101
814,1972-03-25,69
815,1972-03-26,101
816,1972-03-27,78
817,1972-03-28,100
818,1972-03-29,116
819,1972-03-30,86
820,1972-03-31,101
821,1972-04-01,78
822,1972-04-02,77
823,1972-04-03,86
824,1972-04-04,108
825,1972-04-05,105
826,1972-04-06,84
827,1972-04-07,86
828,1972-04-08,69
829,1972-04-09,77
830,1972-04-10,83
831,1972-04-11,89
832,1972-04-12,72
833,1972-04-13,83
834,1972-04-14,74
835,1972-04-15,81
836,1972-04-16,84
837,1972-04-17,91
838,1972-04-18,85
839,1972-04-19,88
840,1972-04-20,70
841,1972-04-21,102
842,1972-04-22,83
843,1972-04-23,76
844,1972-04-24,80
845,1972-04-25,84
846,1972-04-26,78
847,1972-04-27,76
848,1972-04-28,94
849,1972-04-29,89
850,1972-04-30,78
851,1972-05-01,84
852,1972-05-02,66
853,1972-05-03,74
854,1972-05-04,70
855,1972-05-05,65
856,1972-05-06,79
857,1972-05-07,80
858,1972-05-08,82
859,1972-05-09,66
860,1972-05-10,84
861,1972-05-11,80
862,1972-05-12,74
863,1972-05-13,72
864,1972-05-14,88
865,1972-05-15,81
866,1972-05-16,90
867,1972-05-17,70
868,1972-05-18,96
869,1972-05-19,84
870,1972-05-20,82
871,1972-05-21,94
872,1972-05-22,89
873,1972-05-23,86
874,1972-05-24,80
875,1972-05-25,84
876,1972-05-26,69
877,1972-05-27,89
878,1972-05-28,59
879,1972-05-29,90
880,1972-05-30,95
881,1972-05-31,88
882,1972-06-01,91
883,1972-06-02,77
884,1972-06-03,92
885,1972-06-04,98
886,1972-06-05,73
887,1972-06-06,82
888,1972-06-07,92
889,1972-06-08,91
890,1972-06-09,87
891,1972-06-10,79
892,1972-06-11,96
893,1972-06-12,102
894,1972-06-13,75
895,1972-06-14,70
896,1972-06-15,80
897,1972-06-16,84
898,1972-06-17,83
899,1972-06-18,85
900,1972-06-19,83
901,1972-06-20,73
902,1972-06-21,92
903,1972-06-22,85
904,1972-06-23,83
905,1972-06-24,92
906,1972-06-25,86
907,1972-06-26,81
908,1972-06-27,89
909,1972-06-28,66
910,1972-06-29,86
911,1972-06-30,76
912,1972-07-01,90
913,1972-07-02,96
914,1972-07-03,84
915,1972-07-04,81
916,1972-07-05,95
917,1972-07-06,88
918,1972-07-07,84
919,1972-07-08,98
920,1972-07-09,72
921,1972-07-10,88
922,1972-07-11,84
923,1972-07-12,105
924,1972-07-13,81
925,1972-07-14,82
926,1972-07-15,108
927,1972-07-16,74
928,1972-07-17,67
929,1972-07-18,84
930,1972-07-19,75
931,1972-07-20,75
932,1972-07-21,85
933,1972-07-22,75
934,1972-07-23,86
935,1972-07-24,94
936,1972-07-25,94
937,1972-07-26,74
938,1972-07-27,92
939,1972-07-28,77
940,1972-07-29,82
941,1972-07-30,87
942,1972-07-31,111
943,1972-08-01,90
944,1972-08-02,78
945,1972-08-03,82
946,1972-08-04,84
947,1972-08-05,79
948,1972-08-06,79
949,1972-08-07,87
950,1972-08-08,86
951,1972-08-09,74
952,1972-08-10,73
953,1972-08-11,69
954,1972-08-12,87
955,1972-08-13,87
956,1972-08-14,89
957,1972-08-15,93
958,1972-08-16,74
959,1972-08-17,80
960,1972-08-18,104
961,1972-08-19,84
962,1972-08-20,104
963,1972-08-21,90
964,1972-08-22,82
965,1972-08-23,72
966,1972-08-24,89
967,1972-08-25,87
968,1972-08-26,76
969,1972-08-27,72
970,1972-08-28,82
971,1972-08-29,66
972,1972-08-30,78
973,1972-08-31,87
974,1972-09-01,65
975,1972-09-02,94
976,1972-09-03,84
977,1972-09-04,65
978,1972-09-05,73
979,1972-09-06,71
980,1972-09-07,92
981,1972-09-08,93
982,1972-09-09,88
983,1972-09-10,81
984,1972-09-11,97
985,1972-09-12,80
986,1972-09-13,105
987,1972-09-14,97
988,1972-09-15,73
989,1972-09-16,91
990,1972-09-17,80
991,1972-09-18,73
992,1972-09-19,68
993,1972-09-20,85
994,1972-09-21,109
995,1972-09-22,73
996,1972-09-23,58
997,1972-09-24,91
998,1972-09-25,72
999,1972-09-26,87
1000,1972-09-27,68
1001,1972-09-28,62
1002,1972-09-29,89
1003,1972-09-30,80
1004,1972-10-01,97
1005,1972-10-02,70
1006,1972-10-03,78
1007,1972-10-04,82
1008,1972-10-05,100
1009,1972-10-06,89
1010,1972-10-07,92
1011,1972-10-08,87
1012,1972-10-09,84
1013,1972-10-10,83
1014,1972-10-11,86
1015,1972-10-12,105
1016,1972-10-13,74
1017,1972-10-14,75
1018,1972-10-15,80
1019,1972-10-16,80
1020,1972-10-17,85
1021,1972-10-18,81
1022,1972-10-19,115
1023,1972-10-20,99
1024,1972-10-21,83
1025,1972-10-22,95
1026,1972-10-23,89
1027,1972-10-24,82
1028,1972-10-25,79
1029,1972-10-26,70
1030,1972-10-27,78
1031,1972-10-28,83
1032,1972-10-29,82
1033,1972-10-30,81
1034,1972-10-31,90
1035,1972-11-01,86
1036,1972-11-02,79
1037,1972-11-03,76
1038,1972-11-04,86
1039,1972-11-05,73
1040,1972-11-06,89
1041,1972-11-07,81
1042,1972-11-08,79
1043,1972-11-09,87
1044,1972-11-10,87
1045,1972-11-11,84
1046,1972-11-12,61
1047,1972-11-13,89
1048,1972-11-14,93
1049,1972-11-15,102
1050,1972-11-16,76
1051,1972-11-17,93
1052,1972-11-18,92
1053,1972-11-19,78
1054,1972-11-20,83
1055,1972-11-21,86
1056,1972-11-22,90
1057,1972-11-23,83
1058,1972-11-24,85
1059,1972-11-25,83
1060,1972-11-26,90
1061,1972-11-27,70
1062,1972-11-28,83
1063,1972-11-29,96
1064,1972-11-30,80
1065,1972-12-01,90
1066,1972-12-02,75
1067,1972-12-03,84
1068,1972-12-04,106
1069,1972-12-05,68
1070,1972-12-06,82
1071,1972-12-07,83
1072,1972-12-08,87
1073,1972-12-09,77
1074,1972-12-10,78
1075,1972-12-11,79
1076,1972-12-12,91
1077,1972-12-13,84
1078,1972-12-14,86
1079,1972-12-15,98
1080,1972-12-16,75
1081,1972-12-17,90
1082,1972-12-18,85
1083,1972-12-19,88
1084,1972-12-20,101
1085,1972-12-21,88
1086,1972-12-22,108
1087,1972-12-23,76
1088,1972-12-24,88
1089,1972-12-25,98
1090,1972-12-26,67
1091,1972-12-27,80
1092,1972-12-28,97
1093,1972-12-29,83
1094,1972-12-30,77
1095,1972-12-31,77
1096,1973-01-01,84
1097,1973-01-02,100
1098,1973-01-03,85
1099,1973-01-04,68
1100,1973-01-05,75
1101,1973-01-06,103
1102,1973-01-07,90
1103,1973-01-08,89
1104,1973-01-09,102
1105,1973-01-10,80
1106,1973-01-11,92
1107,1973-01-12,74
1108,1973-01-13,65
1109,1973-01-14,84
1110,1973-01-15,91
1111,1973-01-16,77
1112,1973-01-17,82
1113,1973-01-18,74
1114,1973-01-19,71
1115,1973-01-20,94
1116,1973-01-21,88
1117,1973-01-22,79
1118,1973-01-23,81
1119,1973-01-24,97
1120,1973-01-25,77
1121,1973-01-26,79
1122,1973-01-27,91
1123,1973-01-28,93
1124,1973-01-29,96
1125,1973-01-30,70
1126,1973-01-31,83
1127,1973-02-01,78
1128,1973-02-02,83
1129,1973-02-03,80
1130,1973-02-04,70
1131,1973-02-05,72
1132,1973-02-06,81
1133,1973-02-07,83
1134,1973-02-08,89
1135,1973-02-09,84
1136,1973-02-10,93
1137,1973-02-11,79
1138,1973-02-12,100
1139,1973-02-13,80
1140,1973-02-14,92
1141,1973-02-15,83
1142,1973-02-16,85
1143,1973-02-17,102
1144,1973-02-18,88
1145,1973-02-19,100
1146,1973-02-20,97
1147,1973-02-21,71
1148,1973-02-22,60
1149,1973-02-23,69
1150,1973-02-24,75
1151,1973-02-25,85
1152,1973-02-26,88
1153,1973-02-27,101
1154,1973-02-28,86
1155,1973-03-01,80
1156,1973-03-02,91
1157,1973-03-03,74
1158,1973-03-04,82
1159,1973-03-05,84
1160,1973-03-06,80
1161,1973-03-07,91
1162,1973-03-08,76
1163,1973-03-09,83
1164,1973-03-10,73
1165,1973-03-11,79
1166,1973-03-12,81
1167,1973-03-13,81
1168,1973-03-14,70
1169,1973-03-15,61
1170,1973-03-16,71
1171,1973-03-17,74
1172,1973-03-18,83
1173,1973-03-19,82
1174,1973-03-20,86
1175,1973-03-21,77
1176,1973-03-22,67
1177,1973-03-23,86
1178,1973-03-24,80
1179,1973-03-25,93
1180,1973-03-26,104
1181,1973-03-27,84
1182,1973-03-28,66
1183,1973-03-29,94
1184,1973-03-30,85
1185,1973-03-31,99
1186,1973-04-01,88
1187,1973-04-02,69
1188,1973-04-03,82
1189,1973-04-04,95
1190,1973-04-05,95
1191,1973-04-06,72
1192,1973-04-07,112
1193,1973-04-08,100
1194,1973-04-09,73
1195,1973-04-10,89
1196,1973-04-11,73
1197,1973-04-12,86
1198,1973-04-13,66
1199,1973-04-14,95
1200,1973-04-15,86
1201,1973-04-16,63
1202,1973-04-17,87
1203,1973-04-18,70
1204,1973-04-19,69
1205,1973-04-20,79
1206,1973-04-21,67
1207,1973-04-22,80
1208,1973-04-23,78
1209,1973-04-24,96
1210,1973-04-25,83
1211,1973-04-26,66
1212,1973-04-27,92
1213,1973-04-28,85
1214,1973-04-29,93
1215,1973-04-30,75
1216,1973-05-01,90
1217,1973-05-02,76
1218,1973-05-03,96
1219,1973-05-04,79
1220,1973-05-05,84
1221,1973-05-06,112
1222,1973-05-07,75
1223,1973-05-08,66
1224,1973-05-09,76
1225,1973-05-10,84
1226,1973-05-11,76
1227,1973-05-12,83
1228,1973-05-13,86
1229,1973-05-14,79
1230,1973-05-15,62
1231,1973-05-16,94
1232,1973-05-17,92
1233,1973-05-18,108
1234,1973-05-19,86
1235,1973-05-20,94
1236,1973-05-21,87
1237,1973-05-22,65
1238,1973-05-23,88
1239,1973-05-24,81
1240,1973-05-25,86
1241,1973-05-26,70
1242,1973-05-27,73
1243,1973-05-28,84
1244,1973-05-29,88
1245,1973-05-30,89
1246,1973-05-31,91
1247,1973-06-01,77
